Sample:	'Aaron_filter_2_silica
File name:	Aaron_filter_2_silica.UDS
Run Date:	'15:19:00, 02/14/2024
Operator:	Kings College Spec
Comment:	'

Instrument
Model:	U-4100 Spectrophotometer(Solid)
Serial Number:	'
ROM Version:	5300 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	%T
Start Wavelength:	800.00 nm
End Wavelength:	300.00 nm
Scan Speed:	300 nm/min
Sampling Interval:	0.50 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	2.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	1500 nm/min
Slit:	6.0 nm
PbS Gain:	1
Detector change correct:	ON
Detector change Wavelength:	850.0 nm
Light control:	Auto change
--------------
Path Length:	2.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	%T
800.00	-0.003
799.50	-0.006
799.00	-0.008
798.50	-0.007
798.00	-0.004
797.50	0.000
797.00	0.005
796.50	0.010
796.00	0.013
795.50	0.013
795.00	0.012
794.50	0.011
794.00	0.012
793.50	0.012
793.00	0.012
792.50	0.013
792.00	0.012
791.50	0.011
791.00	0.010
790.50	0.009
790.00	0.008
789.50	0.007
789.00	0.007
788.50	0.006
788.00	0.005
787.50	0.001
787.00	-0.001
786.50	-0.004
786.00	-0.004
785.50	-0.003
785.00	0.000
784.50	0.003
784.00	0.005
783.50	0.005
783.00	0.003
782.50	0.002
782.00	0.002
781.50	0.004
781.00	0.007
780.50	0.010
780.00	0.013
779.50	0.015
779.00	0.015
778.50	0.014
778.00	0.012
777.50	0.011
777.00	0.011
776.50	0.009
776.00	0.008
775.50	0.009
775.00	0.011
774.50	0.012
774.00	0.013
773.50	0.012
773.00	0.008
772.50	0.005
772.00	0.003
771.50	0.003
771.00	0.005
770.50	0.008
770.00	0.012
769.50	0.014
769.00	0.015
768.50	0.013
768.00	0.011
767.50	0.010
767.00	0.011
766.50	0.012
766.00	0.014
765.50	0.014
765.00	0.014
764.50	0.014
764.00	0.014
763.50	0.012
763.00	0.010
762.50	0.009
762.00	0.009
761.50	0.010
761.00	0.011
760.50	0.011
760.00	0.012
759.50	0.013
759.00	0.014
758.50	0.014
758.00	0.015
757.50	0.017
757.00	0.019
756.50	0.020
756.00	0.019
755.50	0.017
755.00	0.016
754.50	0.015
754.00	0.015
753.50	0.016
753.00	0.016
752.50	0.016
752.00	0.016
751.50	0.016
751.00	0.017
750.50	0.018
750.00	0.020
749.50	0.022
749.00	0.024
748.50	0.025
748.00	0.026
747.50	0.027
747.00	0.028
746.50	0.029
746.00	0.029
745.50	0.029
745.00	0.029
744.50	0.029
744.00	0.028
743.50	0.028
743.00	0.029
742.50	0.031
742.00	0.033
741.50	0.036
741.00	0.038
740.50	0.039
740.00	0.040
739.50	0.042
739.00	0.044
738.50	0.046
738.00	0.048
737.50	0.051
737.00	0.054
736.50	0.054
736.00	0.055
735.50	0.057
735.00	0.060
734.50	0.064
734.00	0.066
733.50	0.068
733.00	0.068
732.50	0.070
732.00	0.073
731.50	0.076
731.00	0.079
730.50	0.082
730.00	0.085
729.50	0.086
729.00	0.086
728.50	0.087
728.00	0.090
727.50	0.096
727.00	0.104
726.50	0.112
726.00	0.117
725.50	0.121
725.00	0.124
724.50	0.127
724.00	0.130
723.50	0.134
723.00	0.138
722.50	0.143
722.00	0.149
721.50	0.155
721.00	0.162
720.50	0.169
720.00	0.176
719.50	0.182
719.00	0.188
718.50	0.194
718.00	0.201
717.50	0.208
717.00	0.217
716.50	0.225
716.00	0.234
715.50	0.241
715.00	0.248
714.50	0.255
714.00	0.263
713.50	0.273
713.00	0.282
712.50	0.292
712.00	0.303
711.50	0.315
711.00	0.329
710.50	0.343
710.00	0.356
709.50	0.369
709.00	0.381
708.50	0.394
708.00	0.406
707.50	0.418
707.00	0.431
706.50	0.444
706.00	0.457
705.50	0.474
705.00	0.493
704.50	0.513
704.00	0.530
703.50	0.548
703.00	0.565
702.50	0.584
702.00	0.603
701.50	0.627
701.00	0.654
700.50	0.684
700.00	0.712
699.50	0.735
699.00	0.754
698.50	0.774
698.00	0.797
697.50	0.825
697.00	0.854
696.50	0.884
696.00	0.913
695.50	0.941
695.00	0.967
694.50	0.995
694.00	1.027
693.50	1.063
693.00	1.103
692.50	1.145
692.00	1.190
691.50	1.229
691.00	1.266
690.50	1.302
690.00	1.339
689.50	1.377
689.00	1.419
688.50	1.463
688.00	1.511
687.50	1.562
687.00	1.618
686.50	1.672
686.00	1.724
685.50	1.778
685.00	1.834
684.50	1.889
684.00	1.945
683.50	2.004
683.00	2.063
682.50	2.125
682.00	2.190
681.50	2.256
681.00	2.328
680.50	2.404
680.00	2.482
679.50	2.557
679.00	2.628
678.50	2.698
678.00	2.769
677.50	2.843
677.00	2.927
676.50	3.016
676.00	3.107
675.50	3.201
675.00	3.293
674.50	3.380
674.00	3.470
673.50	3.563
673.00	3.661
672.50	3.764
672.00	3.875
671.50	3.989
671.00	4.103
670.50	4.215
670.00	4.329
669.50	4.443
669.00	4.557
668.50	4.674
668.00	4.791
667.50	4.916
667.00	5.048
666.50	5.187
666.00	5.329
665.50	5.471
665.00	5.614
664.50	5.761
664.00	5.908
663.50	6.063
663.00	6.227
662.50	6.397
662.00	6.565
661.50	6.729
661.00	6.881
660.50	7.033
660.00	7.189
659.50	7.359
659.00	7.537
658.50	7.726
658.00	7.918
657.50	8.120
657.00	8.323
656.50	8.531
656.00	8.740
655.50	8.946
655.00	9.150
654.50	9.349
654.00	9.546
653.50	9.753
653.00	9.970
652.50	10.200
652.00	10.442
651.50	10.677
651.00	10.909
650.50	11.139
650.00	11.366
649.50	11.610
649.00	11.873
648.50	12.144
648.00	12.423
647.50	12.692
647.00	12.947
646.50	13.210
646.00	13.482
645.50	13.767
645.00	14.061
644.50	14.342
644.00	14.622
643.50	14.905
643.00	15.187
642.50	15.470
642.00	15.763
641.50	16.064
641.00	16.377
640.50	16.700
640.00	17.019
639.50	17.330
639.00	17.644
638.50	17.973
638.00	18.319
637.50	18.685
637.00	19.058
636.50	19.432
636.00	19.794
635.50	20.140
635.00	20.482
634.50	20.821
634.00	21.173
633.50	21.552
633.00	21.959
632.50	22.367
632.00	22.771
631.50	23.148
631.00	23.502
630.50	23.853
630.00	24.222
629.50	24.619
629.00	25.038
628.50	25.454
628.00	25.856
627.50	26.227
627.00	26.585
626.50	26.949
626.00	27.331
625.50	27.737
625.00	28.187
624.50	28.641
624.00	29.105
623.50	29.555
623.00	29.995
622.50	30.443
622.00	30.919
621.50	31.398
621.00	31.887
620.50	32.357
620.00	32.808
