Sample:	'Air
File name:	Air.UDS
Run Date:	'14:49:21, 02/14/2024
Operator:	Kings College Spec
Comment:	'

Instrument
Model:	U-4100 Spectrophotometer(Solid)
Serial Number:	'
ROM Version:	5300 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	%T
Start Wavelength:	800.00 nm
End Wavelength:	300.00 nm
Scan Speed:	300 nm/min
Sampling Interval:	0.50 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	2.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	1500 nm/min
Slit:	6.0 nm
PbS Gain:	1
Detector change correct:	ON
Detector change Wavelength:	850.0 nm
Light control:	Auto change
--------------
Path Length:	2.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	%T
800.00	101.303
799.50	101.277
799.00	101.142
798.50	100.904
798.00	100.518
797.50	100.109
797.00	99.792
796.50	99.571
796.00	99.605
795.50	99.841
795.00	100.034
794.50	100.167
794.00	100.195
793.50	100.035
793.00	99.826
792.50	99.592
792.00	99.456
791.50	99.524
791.00	99.703
790.50	100.066
790.00	100.445
789.50	100.644
789.00	100.747
788.50	100.786
788.00	100.624
787.50	100.581
787.00	100.522
786.50	100.428
786.00	100.341
785.50	100.292
785.00	100.379
784.50	100.629
784.00	100.874
783.50	101.126
783.00	101.195
782.50	101.076
782.00	100.985
781.50	100.897
781.00	100.775
780.50	100.739
780.00	100.623
779.50	100.483
779.00	100.319
778.50	100.171
778.00	100.084
777.50	100.139
777.00	100.224
776.50	100.373
776.00	100.390
775.50	100.353
775.00	100.277
774.50	100.240
774.00	100.274
773.50	100.420
773.00	100.509
772.50	100.591
