Sample:	'Red_filter_air
File name:	Red_filter_air.UDS
Run Date:	'14:54:46, 02/14/2024
Operator:	Kings College Spec
Comment:	'

Instrument
Model:	U-4100 Spectrophotometer(Solid)
Serial Number:	'
ROM Version:	5300 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	%T
Start Wavelength:	800.00 nm
End Wavelength:	300.00 nm
Scan Speed:	300 nm/min
Sampling Interval:	0.50 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	2.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	1500 nm/min
Slit:	6.0 nm
PbS Gain:	1
Detector change correct:	ON
Detector change Wavelength:	850.0 nm
Light control:	Auto change
--------------
Path Length:	2.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	%T
800.00	90.741
799.50	90.806
799.00	90.620
798.50	90.275
798.00	89.853
797.50	89.484
797.00	89.295
796.50	89.276
796.00	89.418
795.50	89.636
795.00	89.826
794.50	89.905
794.00	89.994
793.50	90.020
793.00	89.926
792.50	89.628
792.00	89.274
791.50	88.937
791.00	88.767
790.50	88.932
790.00	89.340
789.50	89.766
789.00	90.158
788.50	90.441
788.00	90.337
787.50	90.050
787.00	89.792
786.50	89.667
786.00	89.730
785.50	89.904
785.00	90.053
784.50	90.078
784.00	89.974
783.50	89.850
783.00	89.622
782.50	89.302
782.00	89.122
781.50	89.114
781.00	89.120
780.50	89.175
780.00	89.173
779.50	89.214
779.00	89.350
778.50	89.707
778.00	90.121
777.50	90.503
777.00	90.619
776.50	90.574
776.00	90.285
775.50	89.870
775.00	89.435
774.50	89.160
774.00	89.134
773.50	89.391
773.00	89.776
772.50	90.124
772.00	90.237
771.50	90.215
771.00	90.095
770.50	89.959
770.00	89.810
769.50	89.762
769.00	89.754
768.50	89.804
768.00	89.746
767.50	89.639
767.00	89.418
766.50	89.214
766.00	89.186
765.50	89.362
765.00	89.643
764.50	89.951
764.00	90.133
763.50	90.171
763.00	90.181
762.50	90.145
762.00	90.130
761.50	90.122
761.00	90.136
760.50	90.237
760.00	90.297
759.50	90.138
759.00	89.888
758.50	89.606
758.00	89.440
757.50	89.443
757.00	89.529
756.50	89.610
756.00	89.766
755.50	89.904
755.00	90.004
754.50	89.971
754.00	89.907
753.50	89.936
753.00	90.090
752.50	90.198
752.00	90.278
751.50	90.266
751.00	90.221
750.50	90.114
750.00	90.002
749.50	89.821
749.00	89.737
748.50	89.770
748.00	89.908
747.50	89.973
747.00	90.066
746.50	90.160
746.00	90.258
745.50	90.268
745.00	90.214
744.50	90.078
744.00	90.021
743.50	90.016
743.00	90.045
742.50	90.007
742.00	89.973
741.50	89.922
741.00	89.863
740.50	89.759
740.00	89.683
739.50	89.633
739.00	89.660
738.50	89.743
738.00	89.834
737.50	89.885
737.00	89.962
736.50	90.089
736.00	90.134
735.50	90.117
735.00	90.092
734.50	90.047
734.00	90.072
733.50	90.168
733.00	90.180
732.50	90.127
732.00	90.037
731.50	89.929
731.00	89.844
730.50	89.796
730.00	89.795
729.50	89.863
729.00	89.923
728.50	89.993
728.00	90.064
727.50	90.084
727.00	90.155
726.50	90.222
726.00	90.250
725.50	90.283
725.00	90.268
724.50	90.161
724.00	90.055
723.50	89.926
723.00	89.834
722.50	89.791
722.00	89.723
721.50	89.690
721.00	89.718
720.50	89.785
720.00	89.926
719.50	90.035
719.00	90.086
718.50	90.109
718.00	90.091
717.50	90.027
717.00	89.990
716.50	89.911
716.00	89.891
715.50	89.946
715.00	90.003
714.50	90.083
714.00	90.160
713.50	90.161
713.00	90.149
712.50	90.108
712.00	90.056
711.50	90.007
711.00	89.993
710.50	89.998
710.00	90.045
709.50	90.058
709.00	90.097
708.50	90.091
708.00	90.079
707.50	90.085
707.00	90.110
706.50	90.121
706.00	90.149
705.50	90.143
705.00	90.107
704.50	90.028
704.00	89.936
703.50	89.884
703.00	89.897
702.50	89.967
702.00	90.080
701.50	90.126
701.00	90.132
700.50	90.183
700.00	90.218
699.50	90.257
699.00	90.314
698.50	90.316
698.00	90.266
697.50	90.215
697.00	90.104
696.50	89.987
696.00	89.949
695.50	89.960
695.00	90.017
694.50	90.030
694.00	89.979
693.50	89.937
693.00	89.941
692.50	89.977
692.00	90.091
691.50	90.155
691.00	90.143
690.50	90.112
690.00	90.053
689.50	89.980
689.00	89.979
688.50	89.983
688.00	89.991
687.50	89.981
687.00	89.942
686.50	89.876
686.00	89.847
685.50	89.840
685.00	89.914
684.50	90.041
684.00	90.150
683.50	90.211
683.00	90.206
682.50	90.125
682.00	90.036
681.50	89.972
681.00	89.901
680.50	89.857
680.00	89.842
679.50	89.848
679.00	89.863
678.50	89.868
678.00	89.850
677.50	89.839
677.00	89.789
676.50	89.742
676.00	89.692
675.50	89.608
675.00	89.526
674.50	89.453
674.00	89.399
673.50	89.426
673.00	89.556
672.50	89.708
672.00	89.833
671.50	89.857
671.00	89.829
670.50	89.757
670.00	89.690
669.50	89.645
669.00	89.644
668.50	89.666
668.00	89.700
667.50	89.661
667.00	89.551
666.50	89.390
666.00	89.286
665.50	89.261
665.00	89.291
664.50	89.331
664.00	89.349
663.50	89.279
663.00	89.142
662.50	88.926
662.00	88.666
661.50	88.494
661.00	88.443
660.50	88.495
660.00	88.583
659.50	88.606
659.00	88.573
658.50	88.496
658.00	88.364
657.50	88.244
657.00	88.152
656.50	88.088
656.00	88.077
655.50	88.038
655.00	87.888
654.50	87.678
654.00	87.454
653.50	87.295
653.00	87.173
652.50	87.011
652.00	86.809
651.50	86.573
651.00	86.365
650.50	86.204
650.00	86.030
649.50	85.811
649.00	85.582
648.50	85.364
648.00	85.169
647.50	84.942
647.00	84.665
646.50	84.379
646.00	84.087
645.50	83.747
645.00	83.319
644.50	82.785
644.00	82.204
643.50	81.653
643.00	81.156
642.50	80.665
642.00	80.156
641.50	79.629
641.00	79.101
640.50	78.566
640.00	77.990
639.50	77.370
639.00	76.718
638.50	76.035
638.00	75.265
637.50	74.425
637.00	73.494
636.50	72.525
636.00	71.601
635.50	70.704
635.00	69.783
634.50	68.847
634.00	67.822
633.50	66.722
633.00	65.552
632.50	64.303
632.00	63.019
631.50	61.744
631.00	60.446
630.50	59.118
630.00	57.704
629.50	56.186
629.00	54.613
628.50	53.013
628.00	51.400
627.50	49.809
627.00	48.215
626.50	46.621
626.00	45.010
625.50	43.352
625.00	41.649
624.50	39.915
624.00	38.170
623.50	36.436
623.00	34.713
622.50	32.999
622.00	31.296
621.50	29.585
621.00	27.890
620.50	26.220
620.00	24.611
619.50	23.075
619.00	21.600
618.50	20.181
618.00	18.811
617.50	17.489
617.00	16.211
616.50	14.987
616.00	13.815
615.50	12.707
615.00	11.663
614.50	10.679
614.00	9.746
613.50	8.881
613.00	8.085
612.50	7.350
612.00	6.674
611.50	6.051
611.00	5.478
610.50	4.955
610.00	4.478
609.50	4.039
609.00	3.641
608.50	3.282
608.00	2.963
607.50	2.672
607.00	2.407
606.50	2.168
606.00	1.950
605.50	1.748
605.00	1.561
604.50	1.391
604.00	1.241
603.50	1.111
603.00	1.001
602.50	0.905
602.00	0.822
601.50	0.747
601.00	0.680
600.50	0.616
600.00	0.556
599.50	0.503
599.00	0.456
598.50	0.415
598.00	0.378
597.50	0.344
597.00	0.314
596.50	0.287
596.00	0.263
595.50	0.242
595.00	0.222
594.50	0.204
594.00	0.188
593.50	0.173
593.00	0.160
592.50	0.148
592.00	0.139
591.50	0.130
591.00	0.123
590.50	0.116
590.00	0.108
589.50	0.100
589.00	0.092
588.50	0.085
588.00	0.080
587.50	0.076
587.00	0.073
586.50	0.069
586.00	0.066
585.50	0.062
