Sample:	'Red_filter_silica
File name:	Red_filter_silica.UDS
Run Date:	'15:03:47, 02/14/2024
Operator:	Kings College Spec
Comment:	'

Instrument
Model:	U-4100 Spectrophotometer(Solid)
Serial Number:	'
ROM Version:	5300 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	%T
Start Wavelength:	800.00 nm
End Wavelength:	300.00 nm
Scan Speed:	300 nm/min
Sampling Interval:	0.50 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	2.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	1500 nm/min
Slit:	6.0 nm
PbS Gain:	1
Detector change correct:	ON
Detector change Wavelength:	850.0 nm
Light control:	Auto change
--------------
Path Length:	2.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	%T
800.00	97.320
799.50	97.194
799.00	97.142
798.50	97.116
798.00	97.035
797.50	96.936
797.00	96.801
796.50	96.574
796.00	96.397
795.50	96.282
795.00	96.192
794.50	96.273
794.00	96.421
793.50	96.486
793.00	96.496
792.50	96.346
792.00	96.150
791.50	96.131
791.00	96.284
790.50	96.687
790.00	97.101
789.50	97.315
789.00	97.324
788.50	97.213
788.00	96.968
787.50	96.946
787.00	97.000
786.50	97.130
786.00	97.272
785.50	97.281
785.00	97.134
784.50	96.982
784.00	96.787
783.50	96.655
783.00	96.588
782.50	96.492
782.00	96.462
781.50	96.524
781.00	96.535
780.50	96.608
780.00	96.684
779.50	96.798
779.00	96.868
778.50	96.926
778.00	96.907
777.50	97.004
777.00	97.033
776.50	97.005
776.00	96.815
775.50	96.591
775.00	96.375
774.50	96.299
774.00	96.314
773.50	96.438
773.00	96.639
772.50	96.956
772.00	97.234
771.50	97.402
771.00	97.347
770.50	97.235
770.00	97.059
769.50	96.844
769.00	96.576
768.50	96.446
768.00	96.316
767.50	96.306
767.00	96.346
766.50	96.343
766.00	96.333
765.50	96.434
765.00	96.654
764.50	96.915
764.00	97.088
763.50	97.120
763.00	97.110
762.50	96.953
762.00	96.805
761.50	96.708
761.00	96.641
760.50	96.709
760.00	96.809
759.50	96.781
759.00	96.715
758.50	96.624
758.00	96.576
757.50	96.646
757.00	96.754
756.50	96.780
756.00	96.890
755.50	96.996
755.00	97.091
754.50	97.170
754.00	97.217
753.50	97.225
753.00	97.278
752.50	97.252
752.00	97.195
751.50	97.066
751.00	96.871
750.50	96.712
750.00	96.664
749.50	96.582
749.00	96.622
748.50	96.714
748.00	96.853
747.50	96.996
747.00	97.108
746.50	97.131
746.00	97.139
745.50	97.113
745.00	97.110
744.50	97.110
744.00	97.080
743.50	97.098
743.00	97.119
742.50	97.098
742.00	97.070
741.50	97.044
741.00	97.011
740.50	96.965
740.00	96.877
739.50	96.821
739.00	96.808
738.50	96.865
738.00	96.951
737.50	97.015
737.00	97.038
736.50	97.098
736.00	97.098
735.50	97.043
735.00	96.955
734.50	96.931
734.00	97.007
733.50	97.150
733.00	97.246
732.50	97.306
732.00	97.330
731.50	97.303
731.00	97.255
730.50	97.160
730.00	97.037
729.50	96.949
729.00	96.912
728.50	96.888
728.00	96.899
727.50	96.942
727.00	96.993
726.50	97.022
726.00	97.031
725.50	97.066
725.00	97.143
724.50	97.222
724.00	97.301
723.50	97.316
723.00	97.273
722.50	97.174
722.00	97.018
721.50	96.850
721.00	96.797
720.50	96.841
720.00	96.989
719.50	97.133
719.00	97.187
718.50	97.174
718.00	97.154
717.50	97.104
717.00	97.081
716.50	96.992
716.00	96.898
715.50	96.841
715.00	96.807
714.50	96.853
714.00	96.987
713.50	97.072
713.00	97.161
712.50	97.200
712.00	97.143
711.50	97.070
711.00	97.006
710.50	96.953
710.00	96.967
709.50	96.987
709.00	96.997
708.50	96.954
708.00	96.894
707.50	96.879
707.00	96.908
706.50	96.980
706.00	97.087
705.50	97.131
705.00	97.117
704.50	97.083
704.00	97.026
703.50	97.056
703.00	97.182
702.50	97.323
702.00	97.442
701.50	97.476
701.00	97.440
700.50	97.400
700.00	97.323
699.50	97.263
699.00	97.275
698.50	97.321
698.00	97.382
697.50	97.438
697.00	97.382
696.50	97.292
696.00	97.256
695.50	97.222
695.00	97.184
694.50	97.164
694.00	97.138
693.50	97.200
693.00	97.346
692.50	97.502
692.00	97.630
691.50	97.680
691.00	97.632
690.50	97.533
690.00	97.367
689.50	97.227
689.00	97.198
688.50	97.250
688.00	97.325
687.50	97.379
687.00	97.350
686.50	97.279
686.00	97.212
685.50	97.152
685.00	97.117
684.50	97.137
684.00	97.163
683.50	97.185
683.00	97.152
682.50	97.080
682.00	97.042
681.50	97.091
681.00	97.163
680.50	97.266
680.00	97.348
679.50	97.369
679.00	97.317
678.50	97.231
678.00	97.122
677.50	97.056
677.00	96.992
676.50	96.947
676.00	96.889
675.50	96.801
675.00	96.684
674.50	96.579
674.00	96.490
673.50	96.499
673.00	96.623
672.50	96.780
672.00	96.883
671.50	96.910
671.00	96.888
670.50	96.875
670.00	96.879
669.50	96.891
669.00	96.931
668.50	96.970
668.00	96.950
667.50	96.851
667.00	96.683
666.50	96.498
666.00	96.413
665.50	96.457
665.00	96.567
664.50	96.663
664.00	96.690
663.50	96.624
663.00	96.470
662.50	96.217
662.00	95.927
661.50	95.675
661.00	95.517
660.50	95.458
660.00	95.492
659.50	95.495
659.00	95.472
658.50	95.441
658.00	95.408
657.50	95.359
657.00	95.305
656.50	95.208
656.00	95.080
655.50	94.890
655.00	94.625
654.50	94.362
654.00	94.130
653.50	93.937
653.00	93.811
652.50	93.688
652.00	93.543
651.50	93.356
651.00	93.152
650.50	92.889
650.00	92.629
649.50	92.383
649.00	92.188
648.50	92.022
648.00	91.864
647.50	91.686
647.00	91.444
646.50	91.144
646.00	90.765
645.50	90.299
645.00	89.710
644.50	89.058
644.00	88.428
643.50	87.851
643.00	87.313
