Sample:	'Silicon_mirrors
File name:	Silicon_mirrors.UDS
Run Date:	'16:03:22, 02/14/2024
Operator:	Kings College Spec
Comment:	'

Instrument
Model:	U-4100 Spectrophotometer(Solid)
Serial Number:	'
ROM Version:	5300 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	%T
Start Wavelength:	600.00 nm
End Wavelength:	230.00 nm
Scan Speed:	300 nm/min
Sampling Interval:	0.50 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	8.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	1500 nm/min
Slit:	6.0 nm
PbS Gain:	1
Detector change correct:	ON
Detector change Wavelength:	850.0 nm
Light control:	Auto change
--------------
Path Length:	2.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	%T
600.00	38.396
599.50	38.404
599.00	38.411
598.50	38.412
598.00	38.400
597.50	38.379
597.00	38.356
596.50	38.346
596.00	38.344
595.50	38.350
595.00	38.359
594.50	38.369
594.00	38.365
593.50	38.347
593.00	38.315
592.50	38.283
592.00	38.267
591.50	38.274
591.00	38.293
590.50	38.316
590.00	38.335
589.50	38.343
589.00	38.335
588.50	38.315
588.00	38.285
587.50	38.255
587.00	38.224
586.50	38.206
586.00	38.202
585.50	38.208
585.00	38.217
584.50	38.220
584.00	38.205
583.50	38.191
583.00	38.183
582.50	38.193
582.00	38.216
581.50	38.248
581.00	38.280
580.50	38.302
580.00	38.307
579.50	38.296
579.00	38.271
578.50	38.248
578.00	38.238
577.50	38.236
577.00	38.229
576.50	38.213
576.00	38.193
575.50	38.180
575.00	38.174
574.50	38.179
574.00	38.195
573.50	38.213
573.00	38.232
572.50	38.239
572.00	38.226
571.50	38.204
571.00	38.186
570.50	38.178
570.00	38.179
569.50	38.178
569.00	38.176
568.50	38.175
568.00	38.174
567.50	38.170
567.00	38.169
566.50	38.171
566.00	38.179
565.50	38.182
565.00	38.176
564.50	38.155
564.00	38.129
563.50	38.110
563.00	38.111
562.50	38.129
562.00	38.153
561.50	38.177
561.00	38.198
560.50	38.207
560.00	38.205
559.50	38.198
559.00	38.190
558.50	38.186
558.00	38.196
557.50	38.209
557.00	38.213
556.50	38.198
556.00	38.176
555.50	38.156
555.00	38.136
554.50	38.120
554.00	38.114
553.50	38.123
553.00	38.147
552.50	38.176
552.00	38.195
551.50	38.199
551.00	38.183
550.50	38.162
550.00	38.140
549.50	38.110
549.00	38.085
548.50	38.083
548.00	38.093
547.50	38.114
547.00	38.142
546.50	38.163
546.00	38.176
545.50	38.188
545.00	38.195
544.50	38.201
544.00	38.209
543.50	38.222
543.00	38.237
542.50	38.244
542.00	38.238
541.50	38.223
541.00	38.195
540.50	38.174
540.00	38.167
539.50	38.174
539.00	38.190
538.50	38.214
538.00	38.241
537.50	38.262
537.00	38.270
536.50	38.264
536.00	38.247
535.50	38.231
535.00	38.224
534.50	38.223
534.00	38.230
533.50	38.249
533.00	38.270
532.50	38.290
532.00	38.296
531.50	38.286
531.00	38.275
530.50	38.273
530.00	38.276
529.50	38.293
529.00	38.313
528.50	38.325
528.00	38.328
527.50	38.311
527.00	38.285
526.50	38.266
526.00	38.257
525.50	38.274
525.00	38.305
524.50	38.342
524.00	38.378
523.50	38.401
523.00	38.390
522.50	38.363
522.00	38.335
521.50	38.330
521.00	38.351
520.50	38.384
520.00	38.418
519.50	38.452
519.00	38.482
518.50	38.510
518.00	38.521
517.50	38.520
517.00	38.513
516.50	38.516
516.00	38.513
515.50	38.508
515.00	38.505
514.50	38.522
514.00	38.553
513.50	38.592
513.00	38.615
512.50	38.615
512.00	38.598
